category,avg_mrr
direct_fact,0.5733953033268102
numerical,0.6791647496357641
temporal,0.48920250896057343
comparative,0.5422027290448342
holistic,0.45229332010582
relationship,0.6193304141580004
spanning,0.5187850682908824
